# sequana_coverage thresholds:-3.00,3.00,0.50,0.50 window_size:2001 circular:True gc_window_size:201
# JB409847: [{'mu': 0.85606077220333165, 'sigma': 0.24990500986642308, 'pi': 0.2154707467087344}, {'mu': 1.0075128899677164, 'sigma': 0.049589144912210725, 'pi': 0.78452925329126555}]
chr,pos,cov,gc,rm,scale,zscore
JB409847,74,911,0.498,973,0.936,-1.44
JB409847,75,916,0.498,973,0.941,-1.33
JB409847,76,920,0.498,973,0.946,-1.25
JB409847,77,918,0.493,973,0.943,-1.29
JB409847,78,919,0.493,973,0.945,-1.27
JB409847,79,919,0.493,973,0.945,-1.27
JB409847,80,920,0.498,973,0.946,-1.25
JB409847,81,918,0.498,973,0.943,-1.29
JB409847,82,923,0.498,973,0.949,-1.19
JB409847,83,922,0.498,973,0.948,-1.21
JB409847,84,924,0.498,973,0.95,-1.17
JB409847,85,928,0.498,973,0.954,-1.08
JB409847,86,935,0.498,973,0.961,-0.939
JB409847,87,937,0.498,973,0.963,-0.898
JB409847,88,939,0.493,973,0.965,-0.856
JB409847,89,940,0.498,973,0.966,-0.835
JB409847,90,941,0.493,973,0.967,-0.815
JB409847,91,944,0.488,973,0.97,-0.753
JB409847,92,942,0.488,973,0.968,-0.794
JB409847,93,944,0.493,973,0.97,-0.753
JB409847,94,941,0.493,973,0.967,-0.815
JB409847,95,940,0.493,973,0.966,-0.835
JB409847,96,942,0.488,973,0.968,-0.794
JB409847,97,942,0.488,973,0.968,-0.794
JB409847,98,944,0.483,973,0.97,-0.753
JB409847,99,941,0.483,973,0.967,-0.815
JB409847,100,946,0.483,973,0.972,-0.711
JB409847,101,947,0.478,973,0.973,-0.69
JB409847,102,951,0.473,973,0.977,-0.607
JB409847,103,954,0.468,973,0.98,-0.545
JB409847,104,958,0.463,973,0.985,-0.462
JB409847,105,957,0.458,973,0.984,-0.483
JB409847,106,956,0.458,973,0.983,-0.504
JB409847,107,957,0.458,973,0.984,-0.483
JB409847,108,956,0.453,973,0.983,-0.504
JB409847,109,952,0.453,973,0.978,-0.587
JB409847,110,952,0.458,973,0.978,-0.587
JB409847,111,952,0.458,973,0.978,-0.587
JB409847,112,953,0.458,973,0.979,-0.566
JB409847,113,952,0.458,973,0.978,-0.587
JB409847,114,953,0.463,973,0.979,-0.566
JB409847,115,951,0.463,973,0.977,-0.607
JB409847,116,951,0.458,973,0.977,-0.607
JB409847,117,949,0.458,973,0.975,-0.649
JB409847,118,952,0.453,973,0.978,-0.587
JB409847,119,951,0.458,973,0.977,-0.607
JB409847,120,952,0.453,973,0.978,-0.587
JB409847,121,954,0.453,973,0.98,-0.545
JB409847,122,949,0.453,973,0.975,-0.649
JB409847,123,949,0.453,973,0.975,-0.649
JB409847,124,952,0.453,973,0.978,-0.587
JB409847,125,953,0.453,973,0.979,-0.566
JB409847,126,956,0.453,973,0.983,-0.504
JB409847,127,957,0.453,973,0.984,-0.483
JB409847,128,952,0.448,973,0.978,-0.587
JB409847,129,956,0.443,973,0.983,-0.504
JB409847,130,959,0.438,973,0.986,-0.442
JB409847,131,957,0.438,973,0.984,-0.483
JB409847,132,958,0.438,973,0.985,-0.462
JB409847,133,958,0.438,973,0.985,-0.462
JB409847,134,959,0.438,973,0.986,-0.442
JB409847,135,959,0.443,973,0.986,-0.442
JB409847,136,959,0.443,973,0.986,-0.442
JB409847,137,959,0.448,973,0.986,-0.442
JB409847,138,957,0.443,973,0.984,-0.483
JB409847,139,958,0.443,973,0.985,-0.462
JB409847,140,957,0.443,973,0.984,-0.483
JB409847,141,958,0.448,973,0.985,-0.462
JB409847,142,960,0.448,973,0.987,-0.421
JB409847,143,963,0.443,973,0.99,-0.359
JB409847,144,965,0.448,973,0.992,-0.317
JB409847,145,970,0.448,973,0.997,-0.214
JB409847,146,966,0.453,973,0.993,-0.297
JB409847,147,965,0.448,973,0.992,-0.317
JB409847,148,965,0.448,973,0.992,-0.317
JB409847,149,966,0.448,973,0.993,-0.297
JB409847,150,967,0.443,973,0.994,-0.276
JB409847,151,968,0.448,973,0.995,-0.255
JB409847,152,968,0.443,973,0.995,-0.255
JB409847,153,967,0.443,973,0.994,-0.276
JB409847,154,964,0.443,973,0.991,-0.338
JB409847,155,966,0.438,973,0.993,-0.297
JB409847,156,968,0.438,973,0.995,-0.255
JB409847,157,963,0.443,973,0.99,-0.359
JB409847,158,964,0.438,973,0.991,-0.338
JB409847,159,961,0.438,973,0.988,-0.4
JB409847,160,957,0.438,973,0.984,-0.483
JB409847,161,961,0.438,973,0.988,-0.4
JB409847,162,956,0.443,973,0.983,-0.504
JB409847,163,953,0.443,973,0.979,-0.566
JB409847,164,951,0.438,973,0.977,-0.607
JB409847,165,951,0.443,973,0.977,-0.607
JB409847,166,949,0.448,973,0.975,-0.649
JB409847,167,950,0.448,973,0.976,-0.628
JB409847,168,946,0.448,973,0.972,-0.711
JB409847,169,947,0.448,973,0.973,-0.69
JB409847,170,949,0.448,973,0.975,-0.649
JB409847,171,958,0.443,973,0.985,-0.462
JB409847,172,956,0.438,973,0.983,-0.504
JB409847,173,955,0.443,973,0.982,-0.525
JB409847,174,952,0.438,973,0.978,-0.587
JB409847,175,948,0.443,973,0.974,-0.67
JB409847,176,952,0.438,973,0.978,-0.587
JB409847,177,959,0.438,973,0.986,-0.442
JB409847,178,960,0.438,973,0.987,-0.421
JB409847,179,959,0.433,973,0.986,-0.442
JB409847,180,961,0.428,973,0.988,-0.4
JB409847,181,962,0.423,973,0.989,-0.379
JB409847,182,961,0.428,973,0.988,-0.4
JB409847,183,961,0.423,973,0.988,-0.4
JB409847,184,960,0.423,973,0.987,-0.421
JB409847,185,965,0.418,973,0.992,-0.317
JB409847,186,970,0.418,973,0.997,-0.214
JB409847,187,969,0.418,973,0.996,-0.234
JB409847,188,968,0.423,973,0.995,-0.255
JB409847,189,970,0.423,973,0.997,-0.214
JB409847,190,971,0.418,973,0.998,-0.193
JB409847,191,970,0.418,973,0.997,-0.214
JB409847,192,970,0.418,973,0.997,-0.214
JB409847,193,971,0.418,973,0.998,-0.193
JB409847,194,970,0.413,973,0.997,-0.214
JB409847,195,968,0.413,973,0.995,-0.255
JB409847,196,969,0.413,973,0.996,-0.234
JB409847,197,968,0.408,973,0.995,-0.255
JB409847,198,967,0.408,973,0.994,-0.276
JB409847,199,968,0.403,973,0.995,-0.255
JB409847,200,968,0.403,973,0.995,-0.255
JB409847,201,968,0.408,973,0.995,-0.255
JB409847,202,964,0.413,973,0.991,-0.338
JB409847,203,963,0.408,973,0.99,-0.359
JB409847,204,963,0.403,973,0.99,-0.359
JB409847,205,965,0.403,973,0.992,-0.317
JB409847,206,964,0.408,973,0.991,-0.338
JB409847,207,963,0.413,973,0.99,-0.359
JB409847,208,963,0.413,973,0.99,-0.359
JB409847,209,960,0.413,973,0.987,-0.421
JB409847,210,959,0.418,973,0.986,-0.442
JB409847,211,957,0.418,973,0.984,-0.483
JB409847,212,964,0.418,973,0.991,-0.338
JB409847,213,967,0.423,973,0.994,-0.276
JB409847,214,966,0.423,973,0.993,-0.297
JB409847,215,964,0.418,973,0.991,-0.338
JB409847,216,962,0.418,973,0.989,-0.379
JB409847,217,963,0.423,973,0.99,-0.359
JB409847,218,964,0.428,973,0.991,-0.338
JB409847,219,965,0.423,973,0.992,-0.317
JB409847,220,968,0.428,973,0.995,-0.255
JB409847,221,966,0.428,973,0.993,-0.297
JB409847,222,965,0.423,973,0.992,-0.317
JB409847,223,972,0.423,973,0.999,-0.172
JB409847,224,973,0.423,973,1,-0.152
JB409847,225,969,0.418,973,0.996,-0.234
JB409847,226,965,0.423,973,0.992,-0.317
JB409847,227,963,0.428,973,0.99,-0.359
JB409847,228,965,0.423,973,0.992,-0.317
JB409847,229,966,0.428,973,0.993,-0.297
JB409847,230,962,0.428,973,0.989,-0.379
JB409847,231,961,0.428,973,0.988,-0.4
JB409847,232,962,0.433,973,0.989,-0.379
JB409847,233,958,0.428,973,0.985,-0.462
JB409847,234,959,0.423,973,0.986,-0.442
JB409847,235,960,0.428,973,0.987,-0.421
JB409847,236,955,0.428,973,0.982,-0.525
JB409847,237,957,0.428,973,0.984,-0.483
JB409847,238,961,0.433,973,0.988,-0.4
JB409847,239,961,0.433,973,0.988,-0.4
JB409847,240,963,0.433,973,0.99,-0.359
JB409847,241,964,0.428,973,0.991,-0.338
JB409847,242,962,0.428,973,0.989,-0.379
JB409847,243,955,0.433,973,0.982,-0.525
JB409847,244,958,0.433,973,0.985,-0.462
JB409847,245,961,0.433,973,0.988,-0.4
JB409847,246,960,0.438,973,0.987,-0.421
JB409847,247,957,0.438,973,0.984,-0.483
JB409847,248,956,0.438,973,0.983,-0.504
JB409847,249,953,0.443,973,0.979,-0.566
JB409847,250,953,0.448,973,0.979,-0.566
JB409847,251,955,0.448,973,0.982,-0.525
JB409847,252,958,0.443,973,0.985,-0.462
JB409847,253,959,0.443,973,0.986,-0.442
JB409847,254,968,0.448,973,0.995,-0.255
JB409847,255,970,0.453,973,0.997,-0.214
JB409847,256,972,0.453,973,0.999,-0.172
JB409847,257,972,0.458,973,0.999,-0.172
JB409847,258,972,0.458,973,0.999,-0.172
JB409847,259,969,0.458,973,0.996,-0.234
JB409847,260,969,0.463,973,0.996,-0.234
JB409847,261,970,0.458,973,0.997,-0.214
JB409847,262,971,0.453,973,0.998,-0.193
JB409847,263,973,0.448,973,1,-0.152
JB409847,264,973,0.448,973,1,-0.152
JB409847,265,981,0.443,973,1.01,0.0143
JB409847,266,985,0.443,973,1.01,0.0972
JB409847,267,985,0.448,973,1.01,0.0972
JB409847,268,984,0.448,973,1.01,0.0765
JB409847,269,990,0.448,973,1.02,0.201
JB409847,270,998,0.443,973,1.03,0.367
JB409847,271,994,0.438,973,1.02,0.284
JB409847,272,990,0.443,973,1.02,0.201
JB409847,273,991,0.443,973,1.02,0.222
JB409847,274,992,0.443,973,1.02,0.242
JB409847,275,988,0.448,973,1.02,0.159
JB409847,276,994,0.453,973,1.02,0.284
JB409847,277,996,0.453,973,1.02,0.325
JB409847,278,991,0.453,973,1.02,0.222
JB409847,279,988,0.453,973,1.02,0.159
JB409847,280,989,0.448,973,1.02,0.18
JB409847,281,988,0.448,973,1.02,0.159
JB409847,282,989,0.448,973,1.02,0.18
JB409847,283,987,0.453,973,1.01,0.139
JB409847,284,989,0.458,973,1.02,0.18
JB409847,285,987,0.463,973,1.01,0.139
JB409847,286,987,0.463,973,1.01,0.139
JB409847,287,984,0.463,973,1.01,0.0765
JB409847,288,986,0.463,973,1.01,0.118
JB409847,289,988,0.468,973,1.02,0.159
JB409847,290,987,0.468,973,1.01,0.139
JB409847,291,986,0.468,973,1.01,0.118
JB409847,292,984,0.468,973,1.01,0.0765
JB409847,293,981,0.463,973,1.01,0.0143
JB409847,294,980,0.463,973,1.01,-0.00643
JB409847,295,981,0.458,973,1.01,0.0143
JB409847,296,981,0.453,973,1.01,0.0143
JB409847,297,990,0.453,973,1.02,0.201
JB409847,298,988,0.453,973,1.02,0.159
JB409847,299,985,0.453,973,1.01,0.0972
JB409847,300,984,0.453,973,1.01,0.0765
JB409847,301,983,0.458,973,1.01,0.0558
JB409847,302,990,0.463,973,1.02,0.201
JB409847,303,991,0.468,973,1.02,0.222
JB409847,304,989,0.473,973,1.02,0.18
JB409847,305,989,0.473,973,1.02,0.18
JB409847,306,992,0.478,973,1.02,0.242
JB409847,307,990,0.473,973,1.02,0.201
JB409847,308,990,0.468,973,1.02,0.201
JB409847,309,992,0.468,973,1.02,0.242
JB409847,310,999,0.463,973,1.03,0.387
JB409847,311,999,0.458,973,1.03,0.387
JB409847,312,1000,0.463,973,1.03,0.408
JB409847,313,1005,0.468,973,1.03,0.512
JB409847,314,1007,0.468,974,1.03,0.532
JB409847,315,1009,0.463,974,1.04,0.573
JB409847,316,1006,0.458,974,1.03,0.511
JB409847,317,1007,0.458,974,1.03,0.532
JB409847,318,1002,0.458,974,1.03,0.428
JB409847,319,999,0.458,974,1.03,0.366
JB409847,320,1008,0.453,974,1.03,0.552
JB409847,321,1005,0.453,974,1.03,0.49
JB409847,322,1011,0.458,974,1.04,0.615
JB409847,323,1010,0.458,974,1.04,0.594
JB409847,324,1008,0.458,974,1.03,0.552
JB409847,325,1005,0.458,974,1.03,0.49
JB409847,326,1011,0.458,974,1.04,0.615
JB409847,327,1011,0.458,974,1.04,0.615
JB409847,328,1011,0.453,974,1.04,0.615
JB409847,329,1010,0.453,974,1.04,0.594
JB409847,330,1008,0.458,974,1.03,0.552
JB409847,331,1014,0.458,974,1.04,0.677
JB409847,332,1020,0.458,974,1.05,0.801
JB409847,333,1021,0.463,974,1.05,0.822
JB409847,334,1021,0.463,974,1.05,0.822
JB409847,335,1020,0.463,974,1.05,0.801
JB409847,336,1022,0.458,975,1.05,0.821
JB409847,337,1017,0.463,975,1.04,0.717
JB409847,338,1022,0.458,975,1.05,0.821
JB409847,339,1022,0.463,975,1.05,0.821
JB409847,340,1023,0.468,975,1.05,0.841
JB409847,341,1021,0.468,975,1.05,0.8
JB409847,342,1023,0.468,975,1.05,0.841
JB409847,343,1023,0.468,975,1.05,0.841
JB409847,344,1021,0.468,975,1.05,0.8
JB409847,345,1029,0.468,975,1.06,0.965
JB409847,346,1029,0.463,975,1.06,0.965
JB409847,347,1029,0.458,975,1.06,0.965
JB409847,348,1031,0.458,975,1.06,1.01
JB409847,349,1032,0.458,975,1.06,1.03
JB409847,350,1031,0.463,975,1.06,1.01
JB409847,351,1032,0.463,975,1.06,1.03
JB409847,352,1031,0.458,975,1.06,1.01
JB409847,353,1032,0.458,975,1.06,1.03
JB409847,354,1032,0.463,975,1.06,1.03
JB409847,355,1031,0.458,975,1.06,1.01
JB409847,356,1031,0.463,975,1.06,1.01
JB409847,357,1029,0.458,976,1.05,0.944
JB409847,358,1025,0.458,976,1.05,0.861
JB409847,359,1029,0.463,976,1.05,0.944
JB409847,360,1033,0.463,976,1.06,1.03
JB409847,361,1027,0.458,976,1.05,0.902
JB409847,362,1030,0.458,976,1.06,0.964
JB409847,363,1031,0.453,976,1.06,0.985
JB409847,364,1034,0.453,976,1.06,1.05
JB409847,365,1034,0.458,976,1.06,1.05
JB409847,366,1036,0.458,976,1.06,1.09
JB409847,367,1036,0.453,976,1.06,1.09
JB409847,368,1036,0.453,976,1.06,1.09
JB409847,369,1026,0.453,976,1.05,0.882
JB409847,370,1027,0.448,976,1.05,0.902
JB409847,371,1028,0.448,976,1.05,0.923
JB409847,372,1029,0.453,976,1.05,0.944
JB409847,373,1030,0.458,976,1.06,0.964
JB409847,374,1027,0.453,976,1.05,0.902
JB409847,375,1034,0.458,977,1.06,1.03
JB409847,376,1036,0.453,977,1.06,1.07
JB409847,377,1034,0.458,977,1.06,1.03
JB409847,378,1036,0.458,977,1.06,1.07
JB409847,379,1036,0.453,977,1.06,1.07
JB409847,380,1034,0.453,977,1.06,1.03
JB409847,381,1036,0.453,977,1.06,1.07
JB409847,382,1032,0.458,977,1.06,0.984
JB409847,383,1029,0.458,977,1.05,0.922
JB409847,384,1031,0.458,977,1.06,0.963
JB409847,385,1029,0.458,977,1.05,0.922
JB409847,386,1034,0.458,977,1.06,1.03
JB409847,387,1030,0.453,977,1.05,0.942
JB409847,388,1031,0.458,977,1.06,0.963
JB409847,389,1034,0.458,977,1.06,1.03
JB409847,390,1035,0.463,977,1.06,1.05
JB409847,391,1030,0.463,977,1.05,0.942
JB409847,392,1036,0.468,977,1.06,1.07
JB409847,393,1038,0.468,977,1.06,1.11
JB409847,394,1037,0.468,977,1.06,1.09
JB409847,395,1038,0.468,977,1.06,1.11
JB409847,396,1034,0.473,977,1.06,1.03
JB409847,397,1033,0.473,978,1.06,0.983
JB409847,398,1040,0.478,978,1.06,1.13
JB409847,399,1042,0.478,978,1.07,1.17
JB409847,400,1038,0.478,978,1.06,1.09
JB409847,401,1036,0.478,978,1.06,1.04
JB409847,402,1035,0.478,978,1.06,1.02
JB409847,403,1034,0.473,978,1.06,1
JB409847,404,1036,0.478,978,1.06,1.04
JB409847,405,1037,0.483,978,1.06,1.07
JB409847,406,1038,0.483,978,1.06,1.09
JB409847,407,1038,0.483,978,1.06,1.09
JB409847,408,1043,0.478,978,1.07,1.19
JB409847,409,1047,0.478,978,1.07,1.27
JB409847,410,1047,0.478,978,1.07,1.27
JB409847,411,1047,0.478,978,1.07,1.27
JB409847,412,1046,0.473,978,1.07,1.25
JB409847,413,1046,0.478,978,1.07,1.25
JB409847,414,1038,0.478,978,1.06,1.09
JB409847,415,1036,0.478,978,1.06,1.04
JB409847,416,1034,0.483,979,1.06,0.981
JB409847,417,1032,0.483,979,1.05,0.94
JB409847,418,1032,0.483,979,1.05,0.94
JB409847,419,1033,0.478,979,1.06,0.961
JB409847,420,1034,0.483,979,1.06,0.981
JB409847,421,1032,0.478,979,1.05,0.94
JB409847,422,1032,0.478,979,1.05,0.94
JB409847,423,1034,0.478,979,1.06,0.981
JB409847,424,1034,0.483,979,1.06,0.981
JB409847,425,1039,0.483,979,1.06,1.08
JB409847,426,1037,0.488,979,1.06,1.04
JB409847,427,1037,0.488,979,1.06,1.04
JB409847,428,1032,0.488,979,1.05,0.94
JB409847,429,1028,0.493,979,1.05,0.858
JB409847,430,1027,0.488,979,1.05,0.837
JB409847,431,1028,0.488,979,1.05,0.858
JB409847,432,1029,0.483,979,1.05,0.878
JB409847,433,1026,0.483,979,1.05,0.817
JB409847,434,1020,0.488,979,1.04,0.693
JB409847,435,1019,0.488,979,1.04,0.672
JB409847,436,1017,0.483,979,1.04,0.631
JB409847,437,1014,0.483,979,1.04,0.569
JB409847,438,1013,0.488,979,1.03,0.549
JB409847,439,1014,0.488,979,1.04,0.569
JB409847,440,1012,0.488,979,1.03,0.528
JB409847,441,1013,0.483,979,1.03,0.549
JB409847,442,1017,0.488,979,1.04,0.631
JB409847,443,1015,0.488,979,1.04,0.59
JB409847,444,1012,0.483,979,1.03,0.528
JB409847,445,1009,0.488,979,1.03,0.466
JB409847,446,1010,0.483,979,1.03,0.487
JB409847,447,1008,0.483,979,1.03,0.446
JB409847,448,1010,0.488,979,1.03,0.487
JB409847,449,1009,0.483,979,1.03,0.466
JB409847,450,1009,0.478,979,1.03,0.466
JB409847,451,1008,0.478,979,1.03,0.446
JB409847,452,1011,0.478,979,1.03,0.508
JB409847,453,1009,0.478,979,1.03,0.466
JB409847,454,1009,0.478,979,1.03,0.466
JB409847,455,1008,0.478,979,1.03,0.446
JB409847,456,1006,0.473,979,1.03,0.405
JB409847,457,1003,0.473,979,1.02,0.343
JB409847,458,1003,0.473,979,1.02,0.343
JB409847,459,1003,0.478,979,1.02,0.343
JB409847,460,1003,0.473,979,1.02,0.343
JB409847,461,1003,0.473,979,1.02,0.343
JB409847,462,1006,0.478,979,1.03,0.405
JB409847,463,1005,0.478,979,1.03,0.384
JB409847,464,1009,0.478,979,1.03,0.466
JB409847,465,1011,0.483,979,1.03,0.508
JB409847,466,1012,0.483,979,1.03,0.528
JB409847,467,1009,0.488,979,1.03,0.466
JB409847,468,1007,0.488,979,1.03,0.425
JB409847,469,1010,0.488,979,1.03,0.487
JB409847,470,1011,0.493,979,1.03,0.508
JB409847,471,1017,0.498,979,1.04,0.631
JB409847,472,1021,0.498,979,1.04,0.714
JB409847,473,1021,0.498,979,1.04,0.714
JB409847,474,1021,0.498,979,1.04,0.714
JB409847,475,1026,0.493,979,1.05,0.817
JB409847,476,1024,0.488,979,1.05,0.775
JB409847,477,1025,0.483,979,1.05,0.796
JB409847,478,1030,0.483,979,1.05,0.899
JB409847,479,1028,0.488,979,1.05,0.858
JB409847,480,1026,0.483,979,1.05,0.817
JB409847,481,1030,0.483,979,1.05,0.899
JB409847,482,1037,0.478,979,1.06,1.04
JB409847,483,1039,0.478,979,1.06,1.08
JB409847,484,1039,0.478,979,1.06,1.08
JB409847,485,1038,0.473,979,1.06,1.06
JB409847,486,1039,0.473,979,1.06,1.08
JB409847,487,1035,0.468,979,1.06,1
JB409847,488,1037,0.463,979,1.06,1.04
JB409847,489,1040,0.463,979,1.06,1.1
JB409847,490,1037,0.458,979,1.06,1.04
JB409847,491,1034,0.453,979,1.06,0.981
JB409847,492,1039,0.458,979,1.06,1.08
JB409847,493,1038,0.458,979,1.06,1.06
JB409847,494,1040,0.458,979,1.06,1.1
JB409847,495,1040,0.458,979,1.06,1.1
JB409847,496,1039,0.463,979,1.06,1.08
JB409847,497,1040,0.463,979,1.06,1.1
JB409847,498,1043,0.463,979,1.07,1.17
JB409847,499,1044,0.458,979,1.07,1.19
JB409847,500,1038,0.458,979,1.06,1.06
JB409847,501,1037,0.453,979,1.06,1.04
JB409847,502,1042,0.453,979,1.06,1.15
JB409847,503,1040,0.448,979,1.06,1.1
JB409847,504,1040,0.443,979,1.06,1.1
JB409847,505,1043,0.443,979,1.07,1.17
JB409847,506,1041,0.443,979,1.06,1.13
JB409847,507,1046,0.443,979,1.07,1.23
JB409847,508,1044,0.443,979,1.07,1.19
JB409847,509,1044,0.443,979,1.07,1.19
JB409847,510,1044,0.448,979,1.07,1.19
JB409847,511,1043,0.448,979,1.07,1.17
JB409847,512,1039,0.448,979,1.06,1.08
JB409847,513,1044,0.443,979,1.07,1.19
JB409847,514,1045,0.443,979,1.07,1.21
JB409847,515,1040,0.448,979,1.06,1.1
JB409847,516,1043,0.448,979,1.07,1.17
JB409847,517,1042,0.453,979,1.06,1.15
JB409847,518,1043,0.458,979,1.07,1.17
JB409847,519,1038,0.458,979,1.06,1.06
JB409847,520,1039,0.458,979,1.06,1.08
JB409847,521,1038,0.463,979,1.06,1.06
JB409847,522,1037,0.468,979,1.06,1.04
JB409847,523,1037,0.468,979,1.06,1.04
JB409847,524,1033,0.463,979,1.06,0.961
JB409847,525,1030,0.463,979,1.05,0.899
JB409847,526,1037,0.468,979,1.06,1.04
JB409847,527,1037,0.473,979,1.06,1.04
JB409847,528,1036,0.473,979,1.06,1.02
JB409847,529,1034,0.473,979,1.06,0.981
JB409847,530,1035,0.478,979,1.06,1
JB409847,531,1035,0.478,979,1.06,1
JB409847,532,1033,0.483,979,1.06,0.961
JB409847,533,1037,0.483,979,1.06,1.04
JB409847,534,1043,0.478,979,1.07,1.17
JB409847,535,1042,0.478,979,1.06,1.15
JB409847,536,1040,0.478,979,1.06,1.1
JB409847,537,1040,0.478,979,1.06,1.1
JB409847,538,1036,0.473,979,1.06,1.02
JB409847,539,1038,0.478,979,1.06,1.06
JB409847,540,1043,0.478,979,1.07,1.17
JB409847,541,1043,0.473,979,1.07,1.17
JB409847,542,1046,0.473,979,1.07,1.23
JB409847,543,1047,0.468,979,1.07,1.25
JB409847,544,1043,0.463,979,1.07,1.17
JB409847,545,1045,0.468,979,1.07,1.21
JB409847,546,1044,0.463,979,1.07,1.19
JB409847,547,1043,0.468,979,1.07,1.17
JB409847,548,1044,0.468,979,1.07,1.19
JB409847,549,1040,0.473,979,1.06,1.1
JB409847,550,1042,0.473,979,1.06,1.15
JB409847,551,1041,0.468,979,1.06,1.13
JB409847,552,1041,0.468,979,1.06,1.13
JB409847,553,1034,0.468,979,1.06,0.981
JB409847,554,1032,0.468,979,1.05,0.94
JB409847,555,1034,0.468,978,1.06,1
JB409847,556,1035,0.468,978,1.06,1.02
JB409847,557,1036,0.463,978,1.06,1.04
JB409847,558,1039,0.468,978,1.06,1.11
JB409847,559,1036,0.463,978,1.06,1.04
JB409847,560,1031,0.463,978,1.05,0.941
JB409847,561,1031,0.468,978,1.05,0.941
JB409847,562,1030,0.468,978,1.05,0.921
JB409847,563,1033,0.463,978,1.06,0.983
JB409847,564,1031,0.468,978,1.05,0.941
JB409847,565,1025,0.463,978,1.05,0.818
JB409847,566,1020,0.463,978,1.04,0.715
JB409847,567,1019,0.463,978,1.04,0.694
JB409847,568,1013,0.468,978,1.04,0.57
JB409847,569,1012,0.468,978,1.03,0.55
JB409847,570,1016,0.468,978,1.04,0.632
JB409847,571,1014,0.468,978,1.04,0.591
